
run #1:
Layers: conv4_fc2
Number of Epochs: 40
Learning Rate: 0.0001
Batch Size: 32
Using device: cpu
Epoch 1 train: 2609688.281210
Epoch 1 val: 294259.833756
Epoch 2 train: 216030.797490
Epoch 2 val: 193669.619289
Epoch 3 train: 151063.216985
Epoch 3 val: 135013.008586
Epoch 4 train: 99543.673838
Epoch 4 val: 79908.429886
Epoch 5 train: 65622.029634
Epoch 5 val: 56855.675870
Epoch 6 train: 46910.562410
Epoch 6 val: 40785.394655
Epoch 7 train: 36615.914229
Epoch 7 val: 34487.220768
Epoch 8 train: 29225.396624
Epoch 8 val: 37643.829126
Epoch 9 train: 25448.969005
Epoch 9 val: 22553.766740
Epoch 10 train: 21720.698426
Epoch 10 val: 22350.857055
Epoch 11 train: 19154.617429
Epoch 11 val: 17762.946867
Epoch 12 train: 17274.633277
Epoch 12 val: 15536.300915
Epoch 13 train: 15843.228429
Epoch 13 val: 16941.412764
Epoch 14 train: 14976.074412
Epoch 14 val: 14465.420160
Epoch 15 train: 13779.040556
Epoch 15 val: 18535.810552
Epoch 16 train: 13069.421460
Epoch 16 val: 11301.327166
Epoch 17 train: 11918.797387
Epoch 17 val: 14083.853523
Epoch 18 train: 11198.229766
Epoch 18 val: 10351.367460
Epoch 19 train: 11090.505217
Epoch 19 val: 10388.452557
Epoch 20 train: 9950.292009
Epoch 20 val: 14327.768351
Epoch 21 train: 9822.715471
Epoch 21 val: 8922.278640
Epoch 22 train: 9552.001268
Epoch 22 val: 10159.945979
Epoch 23 train: 8665.876189
Epoch 23 val: 11425.902198
Epoch 24 train: 8382.399828
Epoch 24 val: 9671.429060
Epoch 25 train: 8184.206579
Epoch 25 val: 9943.995900
Epoch 26 train: 8060.501901
Epoch 26 val: 7255.256412
Epoch 27 train: 7808.714882
Epoch 27 val: 6993.298140
Epoch 28 train: 7326.189847
Epoch 28 val: 8343.809697
Epoch 29 train: 7038.813533
Epoch 29 val: 8501.128941
Epoch 30 train: 6892.894394
Epoch 30 val: 6477.759277
Epoch 31 train: 7014.807931
Epoch 31 val: 17420.946691
Epoch 32 train: 6453.391852
Epoch 32 val: 5872.908105
Epoch 33 train: 6213.786948
Epoch 33 val: 5797.784564
Epoch 34 train: 6247.181206
Epoch 34 val: 9443.169577
Epoch 35 train: 5934.017927
Epoch 35 val: 5152.523066
Epoch 36 train: 5661.565613
Epoch 36 val: 5046.826033
Epoch 37 train: 5408.790125
Epoch 37 val: 7617.533213
Epoch 38 train: 5789.679810
Epoch 38 val: 4974.458054
Epoch 39 train: 5459.181194
Epoch 39 val: 5008.497846
Epoch 40 train: 5256.318713
Epoch 40 val: 5100.208505
Finished Training and saved the model.
---------------------------------------------------------
