
run #1:
Layers: conv4_fc2
Number of Epochs: 40
Learning Rate: 0.001
Batch Size: 32
Using device: cpu
Epoch 1 train: 682193.617703
Epoch 1 val: 58869.454602
Epoch 2 train: 47252.066131
Epoch 2 val: 28382.861150
Epoch 3 train: 31370.306556
Epoch 3 val: 20820.993372
Epoch 4 train: 24509.484439
Epoch 4 val: 28777.529485
Epoch 5 train: 20138.005330
Epoch 5 val: 14710.491047
Epoch 6 train: 17007.749648
Epoch 6 val: 15205.665475
Epoch 7 train: 14286.331322
Epoch 7 val: 10150.067772
Epoch 8 train: 11678.435395
Epoch 8 val: 9169.322917
Epoch 9 train: 12187.119537
Epoch 9 val: 6018.669387
Epoch 10 train: 8251.902000
Epoch 10 val: 6578.115262
Epoch 11 train: 8988.292102
Epoch 11 val: 13861.913874
Epoch 12 train: 7353.975241
Epoch 12 val: 8431.532291
Epoch 13 train: 6616.940860
Epoch 13 val: 4471.042997
Epoch 14 train: 5932.239082
Epoch 14 val: 5867.183938
Epoch 15 train: 6554.599665
Epoch 15 val: 4291.816088
Epoch 16 train: 5391.699108
Epoch 16 val: 16767.895329
Epoch 17 train: 4582.680737
Epoch 17 val: 3014.761121
Epoch 18 train: 4991.736549
Epoch 18 val: 2410.298104
Epoch 19 train: 4308.190749
Epoch 19 val: 6401.099219
Epoch 20 train: 3846.448163
Epoch 20 val: 2316.014345
Epoch 21 train: 5375.859191
Epoch 21 val: 2475.848042
Epoch 22 train: 3584.852147
Epoch 22 val: 12511.573317
Epoch 23 train: 3721.908189
Epoch 23 val: 3534.270956
Epoch 24 train: 3011.034433
Epoch 24 val: 2247.951890
Epoch 25 train: 3675.619959
Epoch 25 val: 8123.908944
Epoch 26 train: 3022.745082
Epoch 26 val: 1720.244232
Epoch 27 train: 3236.623600
Epoch 27 val: 1608.318244
Epoch 28 train: 2249.136527
Epoch 28 val: 1534.255041
Epoch 29 train: 3142.667133
Epoch 29 val: 2153.124745
Epoch 30 train: 2382.107047
Epoch 30 val: 2307.472896
Epoch 31 train: 2411.369762
Epoch 31 val: 1313.278397
Epoch 32 train: 2379.673320
Epoch 32 val: 2204.438169
Epoch 33 train: 2172.350810
Epoch 33 val: 1438.500429
Epoch 34 train: 2728.135574
Epoch 34 val: 2446.055646
Epoch 35 train: 1775.307880
Epoch 35 val: 3030.532040
Epoch 36 train: 2651.235208
Epoch 36 val: 2289.881282
Epoch 37 train: 1925.747182
Epoch 37 val: 2339.265963
Epoch 38 train: 2169.384824
Epoch 38 val: 1666.726071
Epoch 39 train: 1836.575656
Epoch 39 val: 4493.960089
Epoch 40 train: 1826.448639
Epoch 40 val: 1724.965395
Finished Training and saved the model.
---------------------------------------------------------
