
run #1:
Layers: conv3_fc1
Number of Epochs: 40
Learning Rate: 0.0001
Batch Size: 32
Using device: cpu
Epoch 1 train: 3160707.174929
Epoch 1 val: 1334759.923858
Epoch 2 train: 421044.132892
Epoch 2 val: 192451.376150
Epoch 3 train: 180982.317303
Epoch 3 val: 168106.614293
Epoch 4 train: 154811.208523
Epoch 4 val: 134001.239987
Epoch 5 train: 127060.772243
Epoch 5 val: 108549.898081
Epoch 6 train: 104126.832076
Epoch 6 val: 94068.809248
Epoch 7 train: 84090.443121
Epoch 7 val: 69297.771455
Epoch 8 train: 67363.981362
Epoch 8 val: 54029.681313
Epoch 9 train: 52939.212608
Epoch 9 val: 45989.083266
Epoch 10 train: 42908.208261
Epoch 10 val: 36561.400272
Epoch 11 train: 35765.141034
Epoch 11 val: 31265.132718
Epoch 12 train: 30486.037766
Epoch 12 val: 28704.769254
Epoch 13 train: 26692.501514
Epoch 13 val: 24063.129927
Epoch 14 train: 24062.927109
Epoch 14 val: 23398.251770
Epoch 15 train: 21396.811424
Epoch 15 val: 22106.656627
Epoch 16 train: 19468.436098
Epoch 16 val: 19972.572548
Epoch 17 train: 17720.045853
Epoch 17 val: 16616.087159
Epoch 18 train: 16348.996797
Epoch 18 val: 15692.219449
Epoch 19 train: 15251.688973
Epoch 19 val: 16137.024270
Epoch 20 train: 14160.491710
Epoch 20 val: 14330.183286
Epoch 21 train: 13417.722834
Epoch 21 val: 12809.190958
Epoch 22 train: 12562.902344
Epoch 22 val: 12542.347929
Epoch 23 train: 11916.600245
Epoch 23 val: 12481.878034
Epoch 24 train: 11400.275710
Epoch 24 val: 10571.285012
Epoch 25 train: 10833.214886
Epoch 25 val: 10421.731651
Epoch 26 train: 10537.944248
Epoch 26 val: 10038.174031
Epoch 27 train: 10039.009861
Epoch 27 val: 9921.567140
Epoch 28 train: 9684.024758
Epoch 28 val: 9281.434118
Epoch 29 train: 9347.345992
Epoch 29 val: 9610.355258
Epoch 30 train: 9154.031201
Epoch 30 val: 8814.367672
Epoch 31 train: 8797.954348
Epoch 31 val: 8134.220253
Epoch 32 train: 8459.353535
Epoch 32 val: 8500.292946
Epoch 33 train: 8322.075233
Epoch 33 val: 8166.552490
Epoch 34 train: 8025.525749
Epoch 34 val: 7887.399428
Epoch 35 train: 7831.666828
Epoch 35 val: 7406.691209
Epoch 36 train: 7638.811208
Epoch 36 val: 7461.091881
Epoch 37 train: 7476.754470
Epoch 37 val: 6788.576153
Epoch 38 train: 7484.917754
Epoch 38 val: 6696.777725
Epoch 39 train: 7056.920636
Epoch 39 val: 7819.515739
Epoch 40 train: 6954.612388
Epoch 40 val: 6905.298045
Finished Training and saved the model.
---------------------------------------------------------
