
run #1:
Layers: conv3_fc2
Number of Epochs: 40
Learning Rate: 0.001
Batch Size: 32
Using device: cpu
Epoch 1 train: 587913.927323
Epoch 1 val: 89382.529386
Epoch 2 train: 56911.349953
Epoch 2 val: 37480.372601
Epoch 3 train: 28670.581482
Epoch 3 val: 25906.386406
Epoch 4 train: 18571.337097
Epoch 4 val: 19260.693379
Epoch 5 train: 14590.724168
Epoch 5 val: 10289.066240
Epoch 6 train: 13404.400509
Epoch 6 val: 15758.786396
Epoch 7 train: 9651.623696
Epoch 7 val: 15961.112493
Epoch 8 train: 9455.851878
Epoch 8 val: 11274.556628
Epoch 9 train: 7640.685262
Epoch 9 val: 6889.408310
Epoch 10 train: 6626.260949
Epoch 10 val: 6502.878723
Epoch 11 train: 8251.641228
Epoch 11 val: 4814.245107
Epoch 12 train: 5759.664003
Epoch 12 val: 6034.636998
Epoch 13 train: 6847.160272
Epoch 13 val: 7079.716948
Epoch 14 train: 4660.882530
Epoch 14 val: 5517.485343
Epoch 15 train: 5591.012613
Epoch 15 val: 2565.082722
Epoch 16 train: 5248.387654
Epoch 16 val: 4840.487534
Epoch 17 train: 4483.786577
Epoch 17 val: 5729.104863
Epoch 18 train: 4529.850536
Epoch 18 val: 4491.838872
Epoch 19 train: 3800.832608
Epoch 19 val: 6192.649388
Epoch 20 train: 4157.239738
Epoch 20 val: 4120.559471
Epoch 21 train: 4045.109823
Epoch 21 val: 2163.746927
Epoch 22 train: 3141.705254
Epoch 22 val: 2129.053915
Epoch 23 train: 3455.355690
Epoch 23 val: 2269.932328
Epoch 24 train: 2914.246879
Epoch 24 val: 4960.167262
Epoch 25 train: 4616.152996
Epoch 25 val: 5004.245236
Epoch 26 train: 2669.265710
Epoch 26 val: 3403.960419
Epoch 27 train: 2722.462646
Epoch 27 val: 2538.919520
Epoch 28 train: 2736.937797
Epoch 28 val: 3394.350020
Epoch 29 train: 2701.765230
Epoch 29 val: 2998.973950
Epoch 30 train: 2249.551317
Epoch 30 val: 6476.781219
Epoch 31 train: 3034.083307
Epoch 31 val: 1473.315532
Epoch 32 train: 2069.833024
Epoch 32 val: 2690.325109
Epoch 33 train: 2462.482608
Epoch 33 val: 1475.704990
Epoch 34 train: 2757.603998
Epoch 34 val: 1779.651305
Epoch 35 train: 2117.310745
Epoch 35 val: 1163.866230
Epoch 36 train: 2084.510835
Epoch 36 val: 2562.355345
Epoch 37 train: 2199.303922
Epoch 37 val: 1487.407573
Epoch 38 train: 2116.503523
Epoch 38 val: 2281.247505
Epoch 39 train: 1878.560168
Epoch 39 val: 927.452596
Epoch 40 train: 2256.665625
Epoch 40 val: 2322.038519
Finished Training and saved the model.
---------------------------------------------------------
