
run #1:
Layers: conv4_fc1
Number of Epochs: 40
Learning Rate: 0.001
Batch Size: 32
Using device: cpu
Epoch 1 train: 557584.470158
Epoch 1 val: 120522.380374
Epoch 2 train: 78304.386812
Epoch 2 val: 41256.626403
Epoch 3 train: 37949.901086
Epoch 3 val: 82309.103407
Epoch 4 train: 27356.050604
Epoch 4 val: 19124.242517
Epoch 5 train: 21347.727496
Epoch 5 val: 17130.795036
Epoch 6 train: 18978.656915
Epoch 6 val: 18312.329131
Epoch 7 train: 13660.320364
Epoch 7 val: 20940.599961
Epoch 8 train: 11798.099067
Epoch 8 val: 17619.067844
Epoch 9 train: 10335.320150
Epoch 9 val: 15338.285469
Epoch 10 train: 8460.429121
Epoch 10 val: 10474.953787
Epoch 11 train: 7872.534529
Epoch 11 val: 16873.849451
Epoch 12 train: 7579.370094
Epoch 12 val: 6106.276399
Epoch 13 train: 6602.079010
Epoch 13 val: 13470.716851
Epoch 14 train: 5782.641211
Epoch 14 val: 6627.179249
Epoch 15 train: 5056.947854
Epoch 15 val: 6270.870931
Epoch 16 train: 4325.839194
Epoch 16 val: 4647.333242
Epoch 17 train: 4749.928939
Epoch 17 val: 5506.283037
Epoch 18 train: 3706.809442
Epoch 18 val: 7428.137100
Epoch 19 train: 4368.136172
Epoch 19 val: 21298.862245
Epoch 20 train: 4165.717993
Epoch 20 val: 6858.661513
Epoch 21 train: 3423.697524
Epoch 21 val: 3581.556672
Epoch 22 train: 2868.281755
Epoch 22 val: 2129.926917
Epoch 23 train: 3147.585328
Epoch 23 val: 1679.343392
Epoch 24 train: 3079.431242
Epoch 24 val: 1423.129330
Epoch 25 train: 2582.344466
Epoch 25 val: 2235.288017
Epoch 26 train: 3062.684904
Epoch 26 val: 2657.423425
Epoch 27 train: 2112.848344
Epoch 27 val: 2896.831115
Epoch 28 train: 2552.818016
Epoch 28 val: 1319.309414
Epoch 29 train: 2150.685821
Epoch 29 val: 978.549101
Epoch 30 train: 2381.762793
Epoch 30 val: 9048.089125
Epoch 31 train: 2187.963576
Epoch 31 val: 998.268559
Epoch 32 train: 1746.385884
Epoch 32 val: 1058.025395
Epoch 33 train: 1806.600431
Epoch 33 val: 4630.050690
Epoch 34 train: 2308.670038
Epoch 34 val: 13023.909522
Epoch 35 train: 1557.116695
Epoch 35 val: 1589.560170
Epoch 36 train: 1678.836582
Epoch 36 val: 908.534759
Epoch 37 train: 1816.883328
Epoch 37 val: 1655.689429
Epoch 38 train: 1677.980821
Epoch 38 val: 815.703968
Epoch 39 train: 1508.462271
Epoch 39 val: 20110.391542
Epoch 40 train: 2123.564113
Epoch 40 val: 1559.611261
Finished Training and saved the model.
---------------------------------------------------------
