
run #1:
Layers: conv3_fc2
Number of Epochs: 40
Learning Rate: 0.0001
Batch Size: 32
Using device: cpu
Epoch 1 train: 2778599.356004
Epoch 1 val: 295077.426237
Epoch 2 train: 213371.671280
Epoch 2 val: 160262.495301
Epoch 3 train: 126291.228357
Epoch 3 val: 90901.604388
Epoch 4 train: 71975.596551
Epoch 4 val: 53019.014976
Epoch 5 train: 47222.583598
Epoch 5 val: 38102.857605
Epoch 6 train: 34976.207963
Epoch 6 val: 35782.513627
Epoch 7 train: 28658.987679
Epoch 7 val: 25048.002429
Epoch 8 train: 23425.399581
Epoch 8 val: 23679.543132
Epoch 9 train: 20333.132604
Epoch 9 val: 18975.115742
Epoch 10 train: 17787.245204
Epoch 10 val: 17569.873084
Epoch 11 train: 15845.827095
Epoch 11 val: 14005.664784
Epoch 12 train: 14348.822355
Epoch 12 val: 12386.473982
Epoch 13 train: 12709.554810
Epoch 13 val: 11756.802073
Epoch 14 train: 11530.823991
Epoch 14 val: 13016.652874
Epoch 15 train: 10933.010490
Epoch 15 val: 14062.112002
Epoch 16 train: 10017.721308
Epoch 16 val: 11557.408962
Epoch 17 train: 9709.484447
Epoch 17 val: 9642.876102
Epoch 18 train: 8619.009263
Epoch 18 val: 7788.837125
Epoch 19 train: 8135.967352
Epoch 19 val: 7732.016485
Epoch 20 train: 7645.372275
Epoch 20 val: 7713.083267
Epoch 21 train: 7477.927624
Epoch 21 val: 6539.253525
Epoch 22 train: 6779.198639
Epoch 22 val: 6373.677809
Epoch 23 train: 6776.969400
Epoch 23 val: 5987.759523
Epoch 24 train: 6401.788290
Epoch 24 val: 5875.049672
Epoch 25 train: 6054.136391
Epoch 25 val: 5541.157157
Epoch 26 train: 6132.904953
Epoch 26 val: 5208.329270
Epoch 27 train: 5641.968664
Epoch 27 val: 6420.749943
Epoch 28 train: 5489.930594
Epoch 28 val: 5009.464357
Epoch 29 train: 5480.011607
Epoch 29 val: 4803.194821
Epoch 30 train: 5197.591227
Epoch 30 val: 8781.032973
Epoch 31 train: 4958.284358
Epoch 31 val: 4370.582059
Epoch 32 train: 4966.816337
Epoch 32 val: 4789.598230
Epoch 33 train: 4597.148735
Epoch 33 val: 3930.108625
Epoch 34 train: 4566.170065
Epoch 34 val: 4338.929032
Epoch 35 train: 4238.401564
Epoch 35 val: 4283.739212
Epoch 36 train: 4177.821113
Epoch 36 val: 3895.745266
Epoch 37 train: 4288.607991
Epoch 37 val: 4313.524324
Epoch 38 train: 3949.289817
Epoch 38 val: 4427.407349
Epoch 39 train: 3827.615890
Epoch 39 val: 3554.213756
Epoch 40 train: 3723.174460
Epoch 40 val: 3738.947021
Finished Training and saved the model.
---------------------------------------------------------
