
run #1:
Layers: conv4_fc1
Number of Epochs: 40
Learning Rate: 0.0001
Batch Size: 32
Using device: cpu
Epoch 1 train: 3134025.639356
Epoch 1 val: 1672243.999841
Epoch 2 train: 623073.532856
Epoch 2 val: 199375.582329
Epoch 3 train: 167961.015427
Epoch 3 val: 147664.719107
Epoch 4 train: 135258.186072
Epoch 4 val: 122288.220515
Epoch 5 train: 116402.130644
Epoch 5 val: 110413.018272
Epoch 6 train: 102741.744832
Epoch 6 val: 94529.198515
Epoch 7 train: 92024.606078
Epoch 7 val: 85534.853407
Epoch 8 train: 81803.563189
Epoch 8 val: 76107.865671
Epoch 9 train: 74415.171407
Epoch 9 val: 65930.068012
Epoch 10 train: 66178.101829
Epoch 10 val: 61876.883834
Epoch 11 train: 60109.129266
Epoch 11 val: 53018.140605
Epoch 12 train: 54171.295732
Epoch 12 val: 54706.055411
Epoch 13 train: 49612.299466
Epoch 13 val: 43398.258531
Epoch 14 train: 44790.846217
Epoch 14 val: 41409.389931
Epoch 15 train: 41734.777320
Epoch 15 val: 39650.446958
Epoch 16 train: 38101.673767
Epoch 16 val: 38672.837003
Epoch 17 train: 35424.902113
Epoch 17 val: 31738.101924
Epoch 18 train: 32864.257650
Epoch 18 val: 31870.342729
Epoch 19 train: 30716.966551
Epoch 19 val: 28247.876100
Epoch 20 train: 28503.913870
Epoch 20 val: 26568.986811
Epoch 21 train: 27009.192059
Epoch 21 val: 23201.306638
Epoch 22 train: 25070.184776
Epoch 22 val: 25886.834009
Epoch 23 train: 23082.147470
Epoch 23 val: 20954.669773
Epoch 24 train: 22445.931050
Epoch 24 val: 19642.266535
Epoch 25 train: 20718.848114
Epoch 25 val: 19801.293068
Epoch 26 train: 20090.106146
Epoch 26 val: 21041.831773
Epoch 27 train: 19142.184298
Epoch 27 val: 16598.127047
Epoch 28 train: 18447.855678
Epoch 28 val: 16721.836252
Epoch 29 train: 17496.231015
Epoch 29 val: 15528.097389
Epoch 30 train: 16486.687367
Epoch 30 val: 16358.964690
Epoch 31 train: 16191.633666
Epoch 31 val: 29788.745063
Epoch 32 train: 15523.683879
Epoch 32 val: 13806.546932
Epoch 33 train: 15047.660007
Epoch 33 val: 21933.781974
Epoch 34 train: 14327.820270
Epoch 34 val: 13416.530982
Epoch 35 train: 14340.436155
Epoch 35 val: 14752.904631
Epoch 36 train: 13421.360873
Epoch 36 val: 12169.640043
Epoch 37 train: 12930.205904
Epoch 37 val: 16270.460625
Epoch 38 train: 12724.466133
Epoch 38 val: 11486.036728
Epoch 39 train: 12477.823975
Epoch 39 val: 11209.305976
Epoch 40 train: 11875.242794
Epoch 40 val: 11426.541720
Finished Training and saved the model.
---------------------------------------------------------
